Time,Algae Concentration (mg/L),Average - Input 1 (mV),Average - Input 2 (mV),Average - Input 3 (mV)
7/19/2020 0:00,0.084058,-55.16666667,-80.83333333,-48.91666667
7/19/2020 0:30,0.084058,-55.16666667,-80.5,-49
7/19/2020 1:00,0.084058,-55.83333333,-81.41666667,-50
7/19/2020 1:30,0.084058,-55.83333333,-81.41666667,-49.5
7/19/2020 2:00,0.084058,-56.33333333,-82.08333333,-50.33333333
7/19/2020 2:30,0.084058,-56.75,-82.08333333,-50.75
7/19/2020 3:00,0.084058,-56.25,-81.41666667,-50.5
7/19/2020 3:30,0.084058,-56.5,-81.58333333,-51
7/19/2020 4:00,0.084058,-56,-80.66666667,-50.66666667
7/19/2020 4:30,0.084058,-56.25,-80.5,-50.91666667
7/19/2020 5:00,0.084058,-55.58333333,-79.41666667,-50.66666667
7/19/2020 5:30,0.084058,-55.25,-78.83333333,-50
7/19/2020 6:00,0.084058,-55.25,-78.66666667,-50.25
7/19/2020 6:30,0.084058,-54.58333333,-77.91666667,-49.66666667
7/19/2020 7:00,0.084058,-54.25,-78.25,-50.66666667
7/19/2020 7:30,0.084058,-53.5,-77.16666667,-49.5
7/19/2020 8:00,0.084058,-53.16666667,-76.83333333,-49.58333333
7/19/2020 8:30,0.084058,-52.75,-76.66666667,-49.33333333
7/19/2020 9:00,0.084058,-52.08333333,-75.91666667,-48.83333333
7/19/2020 9:30,0.084058,-52.25,-75.83333333,-48.91666667
7/19/2020 10:00,0.084058,-51,-74.75,-47.83333333
7/19/2020 10:30,0.084058,-50.83333333,-75.25,-48.25
7/19/2020 11:00,0.084058,-49.91666667,-74.33333333,-47.66666667
7/19/2020 11:30,0.084058,-49.91666667,-73.75,-47.58333333
7/19/2020 12:00,0.084058,-49.75,-73.16666667,-47.33333333
7/19/2020 12:30,0.084058,-48.91666667,-72.75,-46.83333333
7/19/2020 13:00,0.084058,-48.58333333,-72.58333333,-46.41666667
7/19/2020 13:30,0.084058,-48,-71.58333333,-45.91666667
7/19/2020 14:00,0.084058,-48.08333333,-72,-46
7/19/2020 14:30,0.084058,-47.5,-71.41666667,-45.5
7/19/2020 15:00,0.084058,-47.25,-71.16666667,-45.25
7/19/2020 15:30,0.084058,-47.41666667,-71.41666667,-45.08333333
7/19/2020 16:00,0.084058,-47.75,-71.5,-45.16666667
7/19/2020 16:30,0.084058,-48.83333333,-72.41666667,-46.5
7/19/2020 17:00,0.084058,-48.91666667,-72.41666667,-46.33333333
7/19/2020 17:30,0.084058,-49.75,-72.5,-46.25
7/19/2020 18:00,0.084058,-49.25,-72.41666667,-46.16666667
7/19/2020 18:30,0.084058,-48.83333333,-72.66666667,-46.41666667
7/19/2020 19:00,0.084058,-49,-73.5,-46.66666667
7/19/2020 19:30,0.084058,-48.83333333,-74.08333333,-46.25
7/19/2020 20:00,0.084058,-49,-76.08333333,-46.5
7/19/2020 20:30,0.084058,-48.83333333,-77.08333333,-46.41666667
7/19/2020 21:00,0.084058,-48.91666667,-76.41666667,-46.58333333
7/19/2020 21:30,0.084058,-48.83333333,-74.08333333,-46.58333333
7/19/2020 22:00,0.084058,-48.33333333,-72.75,-46.41666667
7/19/2020 22:30,0.084058,-48.5,-72.25,-46.66666667
7/19/2020 23:00,0.084058,-48.58333333,-71.75,-46.66666667
7/19/2020 23:30,0.084058,-49,-72.75,-47.25
7/20/2020 0:00,0.084058,-48.83333333,-72.16666667,-47
7/20/2020 0:30,0.084058,-48.91666667,-72.16666667,-47.08333333
7/20/2020 1:00,0.084058,-49,-72.375,-47.375
7/20/2020 1:30,0.084058,-49,-72.25,-59
7/20/2020 2:00,0.084058,-49.16666667,-73,-53
7/20/2020 2:30,0.084058,-48.58333333,-71.91666667,-49.75
7/20/2020 3:00,0.084058,-48.66666667,-72.08333333,-48.5
7/20/2020 3:30,0.084058,-47.58333333,-71.58333333,-47.66666667
7/20/2020 4:00,0.084058,-47.25,-71.33333333,-47.16666667
7/20/2020 4:30,0.084058,-47.66666667,-71.25,-47.25
7/20/2020 5:00,0.084058,-46.66666667,-70,-46
7/20/2020 5:30,0.084058,-46.33333333,-70.16666667,-45.83333333
7/20/2020 6:00,0.084058,-45.33333333,-69.41666667,-45
7/20/2020 6:30,0.084058,-45.25,-69,-45
7/20/2020 7:00,0.084058,-44.5,-68.33333333,-44.5
7/20/2020 7:30,0.084058,-43.58333333,-67.33333333,-43.83333333
7/20/2020 8:00,0.084058,-43,-66.83333333,-43.33333333
7/20/2020 8:30,0.084058,-41.91666667,-66,-42.58333333
7/20/2020 9:00,0.084058,-42.16666667,-65.83333333,-43.08333333
7/20/2020 9:30,0.084058,-41.16666667,-64.75,-42.16666667
7/20/2020 10:00,0.084058,-40.83333333,-64.5,-42
7/20/2020 10:30,0.084058,-40.83333333,-64.66666667,-41.58333333
7/20/2020 11:00,0.084058,-40.33333333,-63.83333333,-40.58333333
7/20/2020 11:30,0.084058,-40.33333333,-63.66666667,-40.75
7/20/2020 12:00,0.084058,-39.5,-62.91666667,-40.25
7/20/2020 12:30,0.084058,-39.58333333,-62.75,-40.08333333
7/20/2020 13:00,0.084058,-38.5,-62.25,-39.58333333
7/20/2020 13:30,0.084058,-38.16666667,-62,-39.5
7/20/2020 14:00,0.084058,-38.16666667,-61.75,-39.33333333
7/20/2020 14:30,0.084058,-37.5,-60.91666667,-38.66666667
7/20/2020 15:00,0.084058,-38,-61.75,-39.08333333
7/20/2020 15:30,0.084058,-37.75,-61.16666667,-38.75
7/20/2020 16:00,0.084058,-38.41666667,-61.75,-39.41666667
7/20/2020 16:30,0.084058,-39.58333333,-62.83333333,-40.08333333
7/20/2020 17:00,0.084058,-40,-62.83333333,-40
7/20/2020 17:30,0.084058,-40.5,-62.75,-40.5
7/20/2020 18:00,0.084058,-39.75,-62.41666667,-39.75
7/20/2020 18:30,0.084058,-40.5,-63,-40.33333333
7/20/2020 19:00,0.084058,-39.91666667,-62.5,-39.83333333
7/20/2020 19:30,0.084058,-39.91666667,-62.58333333,-39.83333333
7/20/2020 20:00,0.084058,-39.83333333,-62.41666667,-39.83333333
7/20/2020 20:30,0.084058,-39.5,-62.33333333,-39.5
7/20/2020 21:00,0.084058,-40.25,-62.75,-40
7/20/2020 21:30,0.084058,-39.75,-62.66666667,-39.58333333
7/20/2020 22:00,0.084058,-40.66666667,-63.25,-40.25
7/20/2020 22:30,0.084058,-40.33333333,-63.83333333,-40.75
7/20/2020 23:00,0.084058,-40.58333333,-64,-41.08333333
7/20/2020 23:30,0.084058,-41.16666667,-64.25,-41.33333333
7/21/2020 0:00,0.084058,-41.5,-63.83333333,-41.16666667
7/21/2020 0:30,0.084058,-42.83333333,-65,-41.5
7/21/2020 1:00,0.084058,-41.58333333,-64,-41.08333333
7/21/2020 1:30,0.084058,-41.75,-64.66666667,-41.5
7/21/2020 2:00,0.084058,-41.25,-64.66666667,-41.33333333
7/21/2020 2:30,0.084058,-40.75,-64,-41.16666667
7/21/2020 3:00,0.084058,-40.91666667,-64.08333333,-41.41666667
7/21/2020 3:30,0.084058,-39.41666667,-62.91666667,-40.25
7/21/2020 4:00,0.084058,-39.41666667,-62.83333333,-40.25
7/21/2020 4:30,0.084058,-38.5,-62.33333333,-39.58333333
7/21/2020 5:00,0.084058,-38,-61.83333333,-39.58333333
7/21/2020 5:30,0.084058,-37.58333333,-61.58333333,-39.16666667
7/21/2020 6:00,0.084058,-37.08333333,-61.08333333,-38.83333333
7/21/2020 6:30,0.084058,-37,-60.91666667,-38.08333333
7/21/2020 7:00,0.084058,-35.83333333,-60,-37.75
7/21/2020 7:30,0.084058,-35,-59.5,-36.83333333
7/21/2020 8:00,0.084058,-33.91666667,-58.58333333,-35.75
7/21/2020 8:30,0.084058,-33.83333333,-58.33333333,-35.5
7/21/2020 9:00,0.084058,-33.66666667,-58.5,-35.41666667
7/21/2020 9:30,0.084058,-32.75,-57.41666667,-34.58333333
7/21/2020 10:00,0.084058,-32.25,-57.33333333,-34.25
7/21/2020 10:30,0.084058,-31.41666667,-57,-33.75
7/21/2020 11:00,0.084058,-31.33333333,-57,-33.91666667
7/21/2020 11:30,0.084058,-30.83333333,-56.08333333,-33.16666667
7/21/2020 12:00,0.084058,-30.58333333,-55.58333333,-32.75
7/21/2020 12:30,0.084058,-30.83333333,-56,-32.5
7/21/2020 13:00,0.084058,-29.66666667,-55.25,-31.83333333
7/21/2020 13:30,0.084058,-29.75,-55.91666667,-32.75
7/21/2020 14:00,0.084058,-30.5,-55.08333333,-31.91666667
7/21/2020 14:30,0.084058,-30.25,-54.91666667,-31.75
7/21/2020 15:00,0.084058,-30.16666667,-54.91666667,-31.83333333
7/21/2020 15:30,0.084058,-30.41666667,-55.5,-32.08333333
7/21/2020 16:00,0.084058,-32.16666667,-56.83333333,-33.5
7/21/2020 16:30,0.084058,-31.83333333,-56.16666667,-33.08333333
7/21/2020 17:00,0.084058,-33,-56.33333333,-34.5
7/21/2020 17:30,0.084058,-32.91666667,-56,-34
7/21/2020 18:00,0.084058,-33.08333333,-56,-33.83333333
7/21/2020 18:30,0.084058,-33.25,-56.33333333,-33.58333333
7/21/2020 19:00,0.084058,-32.25,-55.41666667,-33.08333333
7/21/2020 19:30,0.084058,-32.5,-56.25,-33.5
7/21/2020 20:00,0.084058,-32,-55.5,-33
7/21/2020 20:30,0.084058,-32.91666667,-56.33333333,-33.33333333
7/21/2020 21:00,0.084058,-33.33333333,-56.5,-33.25
7/21/2020 21:30,0.084058,-33.5,-56.83333333,-33.75
7/21/2020 22:00,0.084058,-34.25,-57.41666667,-34.66666667
7/21/2020 22:30,0.084058,-33.91666667,-57.25,-34.16666667
7/21/2020 23:00,0.084058,-34.66666667,-58.16666667,-35
7/21/2020 23:30,0.084058,-34.25,-58,-34.66666667
7/22/2020 0:00,0.084058,-34.5,-58.41666667,-34.83333333
7/22/2020 0:30,0.084058,-34.5,-58.33333333,-34.83333333
7/22/2020 1:00,0.084058,-34.25,-58.08333333,-34.66666667
7/22/2020 1:30,0.084058,-34.75,-58.58333333,-35
7/22/2020 2:00,0.084058,-34,-57.75,-34.5
